X Y Z
863.66 439.21 324.64
875.73 706.94 312.86
127.41 561.07 323.61
315.06 790.06 333.71
946.59 298.80 304.53
886.45 297.20 310.98
194.26 734.73 321.57
949.27 548.18 309.09
297.74 668.35 377.80
440.27 914.08 314.01
123.85 656.79 316.69
385.82 453.34 495.35
91.13 533.04 314.24
557.30 549.56 526.77
923.85 434.41 312.33
138.64 802.24 306.19
794.03 527.14 357.54
551.42 432.93 521.62
949.21 288.23 302.87
877.49 655.14 314.33
605.06 479.67 506.92
925.68 781.28 303.49
648.01 518.63 472.48
551.36 781.64 362.29
727.00 360.72 377.28
81.41 76.15 301.65
106.19 727.79 308.21
494.79 902.88 316.02
149.28 436.23 328.87
273.30 185.89 319.37
563.00 70.30 310.13
829.96 497.73 340.13
65.54 741.04 303.71
828.17 939.40 301.74
615.48 345.49 434.79
145.53 843.01 303.30
281.04 433.81 403.75
555.02 380.64 488.32
282.51 102.99 308.50
887.18 101.87 301.17
734.45 851.25 313.06
312.86 184.14 327.84
429.39 776.95 365.33
309.14 204.67 332.12
289.87 432.27 409.82
743.52 691.35 350.59
864.08 805.69 306.89
343.60 363.41 423.33
163.97 364.22 328.88
757.54 227.56 323.47
581.62 105.95 317.44
211.12 948.66 301.92
138.33 336.88 317.14
69.76 60.08 301.55
179.54 245.69 314.76
66.50 857.16 300.85
898.13 166.95 303.06
245.48 506.98 384.96
59.31 421.52 307.96
295.16 177.90 323.13
739.88 129.17 308.61
318.12 179.59 327.05
487.56 784.69 365.80
230.52 828.52 312.11
841.32 130.61 304.55
298.36 287.82 360.47
574.55 231.89 369.80
580.46 368.77 467.28
357.47 653.27 420.38
767.92 633.73 355.13
880.57 311.59 313.60
660.71 758.73 353.51
493.98 383.89 498.75
165.35 643.52 328.41
135.45 167.39 304.30
685.23 303.31 373.30
271.24 573.01 395.21
421.44 587.97 499.39
333.30 539.01 452.25
129.66 507.00 326.81
188.82 659.48 331.36
934.36 493.60 312.15
857.75 486.84 329.01
389.56 657.35 435.32
379.95 94.14 313.42
825.45 946.39 300.24
501.00 541.01 542.36
377.52 554.32 484.15
545.78 620.00 490.09
664.30 650.53 408.57
477.31 448.72 535.78
854.28 237.96 310.44
913.88 820.30 302.32
901.31 645.51 311.67
354.79 287.89 384.15
211.12 579.27 354.83
506.81 151.65 333.72
503.96 313.03 441.04
700.57 760.31 341.29
628.69 326.22 415.84
458.30 336.67 455.03
117.89 584.73 320.95
436.96 894.42 317.85
918.24 184.94 303.78
580.08 521.75 523.42
157.57 725.59 316.24
738.03 826.54 317.04
785.19 475.92 364.18
392.28 802.91 344.57
572.73 438.10 514.34
617.17 922.08 310.69
168.21 865.43 303.51
156.32 661.95 323.72
483.63 115.79 322.07
294.43 176.75 320.62
690.07 691.75 374.77
948.18 173.18 300.49
161.61 882.24 302.74
347.10 422.60 452.78
151.42 255.34 312.99
293.09 879.45 309.81
377.25 535.83 490.50
493.20 832.08 338.58
368.17 743.90 368.50
853.57 676.11 318.74
430.56 685.38 429.74
144.46 788.13 308.21
142.98 642.81 321.41
539.32 887.35 320.91
688.10 586.54 422.96
555.56 851.99 330.40
247.16 341.86 356.81
917.39 368.21 308.96
101.70 787.47 303.28
658.83 184.53 331.87
770.04 896.31 304.18
118.48 543.33 321.87
128.56 757.88 307.60
172.20 902.53 302.58
216.59 767.33 321.06
671.12 454.28 448.71
312.08 608.86 414.37
520.37 718.48 412.66
173.66 267.32 316.66
185.25 254.59 316.52
389.69 933.25 309.92
593.27 692.65 417.77
709.43 653.62 381.51
756.11 493.70 383.01
658.87 683.55 392.16
853.90 95.33 303.46
565.14 113.01 320.25
695.37 203.19 331.19
78.07 587.40 309.84
726.93 586.20 393.33
845.28 414.59 331.74
424.37 199.64 351.67
869.99 754.23 308.06
789.52 579.98 356.17
446.45 86.15 313.88
694.63 715.49 360.72
328.43 460.33 448.84
388.50 431.06 486.30
588.81 192.85 345.22
132.68 534.60 324.63
558.21 940.25 308.99
278.71 888.09 309.57
733.12 50.85 304.68
626.44 302.81 399.46
804.15 268.44 321.94
72.02 653.36 307.37
415.62 945.32 308.79
330.19 858.03 318.54
897.41 326.42 310.17
856.75 272.45 313.31
203.74 662.51 337.02
106.81 822.10 303.48
716.85 505.52 414.65
224.75 759.60 322.13
53.82 356.75 307.59
70.05 123.98 302.06
614.66 583.24 477.88
911.91 834.67 302.22
474.69 265.03 400.04
699.15 91.80 306.77
268.01 885.87 308.14
853.20 823.71 303.96
90.52 669.20 310.08
132.21 433.64 324.91
180.64 89.99 302.94
645.01 690.84 397.04
133.57 669.80 316.46
589.04 713.41 402.06
107.43 847.51 301.49
788.12 590.16 355.67
63.10 579.80 310.13
73.22 144.51 300.09
723.60 99.82 308.72
858.23 624.30 321.44
784.36 693.73 335.01
192.70 362.23 337.35
297.33 422.37 414.20
75.76 451.95 310.75
813.68 881.46 305.05
493.44 378.47 496.52
905.92 724.21 306.05
490.57 260.02 396.51
711.77 416.12 405.90
231.06 247.45 326.83
420.47 601.09 489.76
123.57 358.24 316.05
576.83 403.20 492.48
232.08 702.91 338.46
90.32 557.70 313.05
584.46 57.13 308.23
365.58 203.90 343.75
738.66 785.44 324.57
417.11 131.39 324.57
540.66 609.38 500.46
595.96 225.28 360.52
586.05 456.87 515.57
521.61 445.11 535.18
808.84 349.43 333.75
72.52 636.42 308.95
829.01 295.52 321.02
462.22 131.22 326.37
223.52 76.64 303.62
145.57 807.13 306.25
662.61 415.74 443.55
900.80 690.77 308.28
884.72 636.91 316.46
342.94 665.38 405.27
686.47 188.58 327.55
441.37 648.99 464.33
457.79 334.36 453.33
504.61 538.86 542.67
902.18 180.67 303.74
809.11 899.90 304.32
442.15 494.45 537.30
504.91 435.58 533.73
251.57 106.82 305.49
850.23 859.21 303.06
318.18 836.29 321.92
232.52 900.14 304.64
414.66 944.88 308.65
622.46 690.63 405.09
543.39 631.01 483.48
810.79 282.48 323.41
490.28 419.12 525.10
561.74 941.48 308.46
188.35 563.53 347.53
747.37 764.01 327.55
574.55 267.65 393.74
835.15 105.03 301.82
354.55 67.20 308.09
267.43 905.32 306.78
243.51 891.52 306.12
482.51 119.77 320.94
398.26 809.66 342.02
625.37 584.60 470.87
680.13 201.64 331.85
697.49 610.20 407.94
151.14 935.45 300.24
183.57 236.68 316.26
818.72 479.49 344.57
704.27 675.86 374.62
164.15 715.73 316.70
501.10 336.75 461.64
414.40 146.66 326.16
615.68 847.91 326.47
878.37 297.81 312.85
870.99 617.56 319.67
716.39 777.65 332.60
535.34 552.45 532.82
66.87 322.10 307.79
838.27 282.42 316.50
712.29 227.82 333.49
781.09 584.06 360.02
912.63 868.29 300.90
224.33 656.36 348.00
367.41 546.44 480.43
590.37 608.97 478.57
299.11 532.82 426.66
795.25 72.83 303.14
152.94 128.21 303.32
300.40 911.44 306.88
434.39 389.11 490.26
791.16 875.46 305.49
823.93 558.59 342.35
137.22 386.03 321.32
419.75 387.53 482.97
334.45 692.11 385.63
873.67 243.48 307.22
780.00 193.16 313.88
320.98 808.68 330.01
852.71 489.03 331.40
416.44 63.57 308.60
716.32 546.51 410.22
883.39 386.52 318.46
918.33 904.57 299.77
858.49 121.11 301.75
905.67 257.21 306.11
582.09 745.15 382.14
916.16 185.19 302.58
821.78 724.63 317.87
890.21 120.87 302.80
392.73 289.17 397.60
799.69 850.60 305.89
365.78 672.33 413.70
865.58 368.48 320.06
541.78 777.86 367.86
349.36 411.28 449.95
638.99 132.79 319.71
384.54 641.47 443.64
78.16 667.67 307.40
168.40 462.27 338.35
724.82 740.23 341.89
