X Y Z
645.36 87.83 411.53
284.97 590.49 313.25
480.47 722.91 381.59
846.76 477.63 253.77
225.15 268.56 401.35
549.20 397.35 305.43
640.63 334.98 339.90
549.82 768.76 395.17
169.95 162.08 435.48
640.27 313.12 351.30
171.20 451.75 301.89
708.84 556.02 272.23
407.32 865.38 421.92
335.41 311.38 369.78
546.66 593.69 298.40
711.78 662.07 331.79
569.75 476.73 270.70
693.47 222.93 389.73
643.17 54.97 413.51
377.71 443.66 290.54
433.10 822.54 416.30
212.31 62.72 438.34
824.10 111.94 399.94
849.79 446.48 261.63
169.53 230.25 419.22
296.58 52.24 435.01
166.94 445.29 304.17
110.91 620.22 342.28
405.45 351.21 342.34
278.25 370.92 337.93
295.22 505.44 286.18
826.92 289.23 353.93
327.68 913.01 432.70
600.66 795.30 400.66
557.54 709.82 368.51
928.82 131.15 391.40
700.04 116.26 406.23
355.07 741.90 396.98
583.82 239.08 390.64
376.76 757.43 400.33
73.49 831.99 439.16
88.28 246.49 416.92
473.02 325.00 355.20
923.66 402.98 280.43
213.66 378.87 336.20
227.41 64.58 438.94
113.95 934.44 445.83
665.90 86.27 410.22
685.54 192.03 397.12
102.78 153.71 440.05
237.89 873.60 434.12
313.96 773.06 411.33
819.50 395.07 289.85
433.27 931.53 425.26
724.91 620.38 304.56
634.71 451.55 272.58
703.01 921.78 408.18
455.32 386.01 316.62
240.42 431.90 304.23
156.51 269.89 404.45
625.97 633.07 319.38
137.30 641.32 352.87
242.71 913.95 437.81
425.30 59.28 426.26
549.01 192.14 405.95
852.82 938.88 401.65
222.32 458.94 294.46
838.88 735.71 366.56
796.73 405.71 286.58
619.11 98.51 412.06
143.05 716.98 397.14
733.88 507.99 259.28
404.82 882.20 425.49
773.58 58.57 406.63
936.15 95.88 394.26
837.28 426.43 272.15
377.58 530.13 282.75
863.97 612.50 293.10
457.87 344.48 343.09
340.72 582.95 305.21
823.02 506.38 253.48
718.01 631.16 311.22
711.46 200.76 394.15
371.18 893.45 429.08
149.33 129.62 438.80
226.42 845.74 431.72
431.55 663.78 349.27
942.65 384.13 290.65
442.58 814.00 414.21
193.40 445.49 302.89
395.74 114.44 426.91
470.28 643.44 335.77
854.70 675.08 333.28
420.88 81.46 425.93
139.89 877.45 440.73
246.17 74.93 436.56
857.39 148.88 393.66
122.39 458.50 302.35
779.45 274.05 365.13
649.34 539.35 268.82
285.18 425.31 304.26
149.91 550.84 304.23
334.93 412.17 308.48
301.31 608.08 323.58
685.21 671.30 341.36
353.53 279.13 386.40
676.29 93.61 408.72
153.70 875.59 438.13
414.73 364.90 332.84
110.02 141.52 440.80
498.26 285.56 376.57
726.24 222.34 386.95
189.68 813.88 428.04
582.11 612.79 308.97
74.97 183.80 435.12
866.43 809.69 386.79
198.53 468.84 294.06
197.66 878.18 436.56
223.70 846.65 432.77
806.13 784.88 385.36
858.30 872.64 397.55
721.15 98.76 405.80
750.20 798.03 390.35
61.31 332.94 373.38
448.37 801.28 411.25
280.09 93.87 433.95
792.51 420.46 277.29
913.04 758.48 369.14
447.19 334.75 349.82
909.88 230.08 374.67
620.55 582.96 288.20
237.52 345.17 354.95
862.65 104.25 399.23
