X Y Z
245.39 313.08 350.38
354.50 549.32 352.84
415.16 153.64 305.19
844.01 712.59 317.49
536.77 354.21 361.23
522.33 240.85 309.04
420.01 601.26 368.07
928.88 608.45 302.00
395.03 414.68 455.95
449.37 542.88 449.00
692.84 162.47 300.16
526.29 695.56 357.76
243.54 476.80 320.42
774.88 118.44 300.43
288.94 908.74 301.26
904.23 881.46 305.06
353.71 227.43 340.10
172.29 822.24 299.12
629.22 703.63 384.02
663.83 884.43 307.04
836.14 661.57 316.26
89.30 708.58 298.55
769.17 286.12 300.36
178.59 591.95 300.33
135.51 457.39 302.68
65.64 716.70 299.94
240.83 295.29 347.56
212.09 715.32 300.09
454.17 445.49 488.13
660.76 385.56 314.32
516.00 321.52 346.57
273.86 892.14 300.44
948.81 451.22 300.96
673.98 707.50 378.73
858.28 600.50 306.29
313.50 449.56 375.01
894.48 671.41 305.09
593.64 716.52 365.61
740.09 581.89 344.58
884.71 740.63 309.80
223.86 597.23 302.78
540.83 670.10 387.62
227.67 648.39 300.61
612.06 843.38 309.41
66.65 745.63 300.91
355.48 632.23 316.13
463.97 424.53 475.90
634.74 78.57 299.42
860.54 295.23 299.11
724.58 935.90 301.51
497.17 262.73 321.87
388.81 907.74 299.49
524.76 541.27 493.95
900.45 402.98 299.78
293.99 205.30 331.47
706.24 185.35 299.65
591.97 926.67 301.96
690.73 478.22 336.30
907.28 882.61 302.53
368.55 871.47 300.14
337.23 799.58 301.54
482.04 898.01 300.87
204.35 496.83 305.23
691.91 57.03 300.99
706.48 488.04 332.99
144.12 676.60 299.64
722.23 358.30 301.72
95.55 353.33 304.74
413.00 580.29 380.16
314.15 772.61 299.39
934.48 533.91 300.39
720.56 355.09 303.30
151.06 406.75 305.95
651.00 167.60 301.25
705.83 784.88 334.61
435.72 131.67 303.07
328.03 724.23 302.14
115.05 891.63 298.87
820.72 914.50 306.42
238.46 230.04 335.14
132.08 859.19 299.16
311.64 841.23 301.24
650.93 81.19 301.20
674.41 492.82 356.50
160.89 845.48 299.27
634.21 649.44 418.63
517.59 919.63 300.17
776.16 635.17 335.00
518.41 496.02 497.62
176.85 117.38 308.55
74.29 488.85 299.37
329.10 257.99 356.99
196.13 467.88 307.36
654.61 179.30 298.85
70.74 663.54 300.87
592.66 599.89 458.53
191.18 454.43 308.20
739.51 170.47 298.78
905.57 899.21 304.08
517.97 864.69 302.39
392.77 329.48 408.75
782.42 175.32 299.69
122.23 130.38 305.98
624.97 571.81 444.04
532.43 813.14 306.81
829.44 799.71 315.82
610.76 845.05 310.03
582.96 679.11 397.14
838.04 298.07 299.42
504.74 509.67 500.37
872.02 778.68 312.10
363.67 858.84 300.72
176.34 938.60 299.28
110.94 913.56 301.37
345.88 905.38 299.25
382.29 594.61 344.46
681.72 902.89 303.67
301.88 881.33 299.18
64.66 869.35 299.37
222.03 765.77 299.96
745.46 467.51 312.29
575.86 380.12 355.48
831.57 941.46 302.09
544.48 331.99 339.60
823.85 58.89 300.21
363.56 717.54 302.39
925.39 485.84 298.73
527.25 940.95 301.45
832.74 234.34 301.03
640.33 522.99 406.38
233.63 732.73 299.37
73.82 710.70 299.64
769.31 876.82 310.11
715.78 119.83 299.29
207.48 760.57 298.90
711.39 461.74 319.88
116.54 124.18 306.55
864.59 328.59 300.50
284.43 229.51 341.12
867.72 921.34 303.03
939.12 391.63 300.76
63.04 850.64 300.62
191.40 343.97 323.26
302.61 899.46 298.91
230.35 891.98 301.12
482.68 527.25 488.46
164.93 311.89 318.41
395.91 94.39 303.17
123.55 318.42 308.92
695.17 372.65 307.03
894.16 118.18 300.12
366.98 560.83 355.73
274.84 728.64 299.86
70.20 863.63 300.45
286.56 318.08 374.07
384.63 221.78 329.89
560.84 935.73 299.30
253.30 729.91 299.86
553.62 764.59 325.24
685.76 809.99 325.76
151.05 915.72 298.89
110.16 178.21 306.48
827.09 517.00 303.60
579.68 831.49 307.68
424.93 133.84 304.58
659.39 839.55 314.75
620.39 882.37 305.22
902.20 795.11 305.09
376.43 61.22 302.51
457.22 727.91 314.26
84.32 432.26 301.92
429.07 318.95 389.56
844.45 371.73 299.18
433.65 216.20 318.41
452.25 93.14 302.10
402.91 729.59 304.55
886.23 270.84 300.48
881.80 137.82 300.07
733.17 445.72 310.42
443.81 121.17 302.60
525.68 742.75 327.20
720.19 165.57 298.96
818.46 265.73 301.07
558.69 354.07 346.27
825.16 536.26 305.41
425.66 768.70 302.23
109.52 94.71 303.51
731.72 213.23 300.16
288.08 315.04 371.82
519.01 412.33 432.32
158.34 92.74 304.47
234.88 435.66 327.38
401.36 438.99 462.68
878.35 506.12 299.56
