X Y Z
309.65 744.35 291.29
73.19 949.46 292.49
384.98 913.26 241.14
597.41 660.57 294.09
705.22 725.09 296.69
404.86 498.02 303.41
432.72 516.46 301.46
547.06 238.01 275.11
278.07 868.76 267.56
790.58 337.47 321.88
469.46 141.85 252.27
321.88 500.30 311.71
331.82 752.10 286.70
65.23 690.08 357.56
357.65 801.66 273.26
638.94 57.09 233.74
562.25 140.45 252.97
140.91 609.44 344.06
71.81 383.35 363.85
733.08 669.41 309.60
909.39 887.04 306.51
705.73 421.85 313.67
293.09 205.79 283.71
786.78 509.25 330.77
127.88 718.49 333.94
349.98 490.80 308.23
893.86 194.22 322.92
719.89 575.77 316.04
510.65 192.63 264.74
275.21 873.71 266.79
370.14 622.02 300.80
298.33 470.02 314.80
377.90 103.25 246.75
323.98 658.20 302.40
292.21 151.87 270.78
806.95 231.40 308.24
898.15 119.07 304.86
521.56 556.56 298.92
396.15 525.25 303.89
763.11 58.64 252.78
99.96 59.05 287.30
731.53 719.06 302.10
576.03 776.09 273.41
125.26 147.09 305.93
824.06 675.72 327.76
335.85 442.45 308.89
463.79 881.61 245.86
740.71 356.74 313.94
887.05 521.30 356.00
915.00 141.52 316.59
134.34 164.72 308.19
57.91 149.28 327.37
156.95 206.58 311.69
314.01 647.78 304.65
846.05 383.16 339.66
614.29 338.71 295.24
545.23 510.43 300.67
734.47 761.86 294.98
711.00 167.03 275.18
552.84 259.91 279.50
63.39 271.66 351.92
398.54 102.54 244.84
265.46 226.43 292.74
774.81 174.29 288.47
514.55 749.90 276.55
113.38 465.13 355.50
813.75 233.04 309.99
425.29 906.31 240.08
256.87 418.57 319.81
82.63 452.75 364.61
320.19 152.80 266.99
478.72 141.18 251.92
806.45 519.06 334.86
645.17 521.13 307.87
264.93 502.27 320.63
179.40 110.41 281.48
549.07 707.48 284.68
837.36 403.64 339.15
354.22 534.81 307.65
186.86 912.89 272.82
685.40 827.31 272.87
779.70 310.04 315.75
770.14 554.13 326.32
174.23 942.54 266.26
509.35 272.79 280.55
193.06 138.79 286.57
256.92 930.07 252.86
785.31 437.30 328.86
271.92 723.17 301.04
791.71 876.44 278.83
596.64 909.50 240.67
738.62 166.69 279.60
910.79 355.98 355.32
305.65 796.38 281.14
880.17 754.64 329.74
73.58 284.13 350.81
552.21 399.63 297.33
463.92 121.28 246.75
570.11 140.70 253.65
401.38 826.37 263.81
288.86 349.67 308.41
735.62 843.44 276.74
485.58 50.33 224.16
210.33 866.37 281.15
553.00 547.56 300.21
463.10 338.69 290.56
847.82 854.94 298.09
632.52 672.47 295.62
126.59 805.02 317.34
167.59 362.53 334.45
696.35 945.38 239.97
163.89 833.46 300.78
539.83 795.62 267.69
70.51 269.01 349.21
